"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Aug-2020","EQ","3,110.00","3,159.00","3,048.75","3,104.80","3,067.50","3,059.80","3,106.14","3,315.15","1,788.65",953142,"2,960,590,005.60",46824
"18-Aug-2020","EQ","3,124.00","3,147.00","3,093.00","3,115.60","3,102.15","3,104.80","3,124.97","3,315.15","1,788.65",825812,"2,580,640,916.55",51449
"17-Aug-2020","EQ","3,014.00","3,126.00","2,992.00","2,987.55","3,117.00","3,115.60","3,088.29","3,315.15","1,788.65",1577193,"4,870,823,854.10",72017
"14-Aug-2020","EQ","3,022.00","3,028.25","2,976.00","3,017.95","2,981.00","2,987.55","3,001.98","3,315.15","1,788.65",542458,"1,628,449,870.90",34219
"13-Aug-2020","EQ","3,040.00","3,040.00","3,000.00","3,023.00","3,022.80","3,017.95","3,017.07","3,315.15","1,788.65",462333,"1,394,892,392.30",23240
"12-Aug-2020","EQ","3,007.45","3,035.00","2,982.50","3,007.45","3,032.05","3,023.00","3,011.50","3,315.15","1,788.65",489281,"1,473,471,320.35",23092
"11-Aug-2020","EQ","3,020.80","3,060.00","2,995.75","2,993.80","3,003.00","3,007.45","3,029.37","3,315.15","1,788.65",696792,"2,110,840,642.70",35952
"10-Aug-2020","EQ","3,001.70","3,025.00","2,971.00","3,001.70","2,989.85","2,993.80","2,997.61","3,315.15","1,788.65",442147,"1,325,382,622.45",24168
"07-Aug-2020","EQ","2,991.80","3,019.00","2,975.00","2,991.80","3,001.95","3,001.70","3,000.46","3,315.15","1,788.65",515513,"1,546,774,777.80",27604
"06-Aug-2020","EQ","3,024.80","3,075.00","2,976.40","3,009.00","2,999.00","2,991.80","3,012.11","3,315.15","1,788.65",853222,"2,569,998,246.20",43010
"05-Aug-2020","EQ","2,986.20","3,035.45","2,972.00","2,969.95","3,016.05","3,009.00","3,004.49","3,315.15","1,788.65",678315,"2,037,993,627.90",35859
"04-Aug-2020","EQ","2,939.00","2,999.00","2,922.05","2,917.45","2,966.35","2,969.95","2,963.51","3,315.15","1,788.65",706322,"2,093,193,334.05",39592
"03-Aug-2020","EQ","2,990.00","3,069.90","2,910.00","3,004.95","2,927.10","2,917.45","2,971.20","3,315.15","1,788.65",1246031,"3,702,202,321.85",65012
"31-Jul-2020","EQ","3,068.85","3,077.90","2,991.60","3,048.95","3,000.00","3,004.95","3,022.82","3,315.15","1,788.65",561196,"1,696,393,602.75",35568
"30-Jul-2020","EQ","3,110.00","3,129.95","3,039.35","3,099.30","3,045.00","3,048.95","3,084.74","3,315.15","1,788.65",570178,"1,758,853,647.50",32290
"29-Jul-2020","EQ","3,127.05","3,149.00","3,080.85","3,119.35","3,093.90","3,099.30","3,113.56","3,315.15","1,788.65",582910,"1,814,925,539.10",31504
"28-Jul-2020","EQ","3,021.00","3,130.00","3,018.00","3,020.50","3,127.00","3,119.35","3,094.52","3,315.15","1,788.65",1263659,"3,910,413,648.05",60783
"27-Jul-2020","EQ","2,990.00","3,035.00","2,934.05","2,985.50","3,015.00","3,020.50","2,988.33","3,315.15","1,788.65",621962,"1,858,630,485.90",42852
"24-Jul-2020","EQ","3,030.00","3,030.00","2,978.00","3,032.10","2,985.00","2,985.50","3,003.03","3,315.15","1,788.65",543609,"1,632,476,021.15",30088
"23-Jul-2020","EQ","2,965.00","3,050.00","2,939.65","2,985.40","3,037.30","3,032.10","2,998.32","3,315.15","1,788.65",1057191,"3,169,799,507.25",49546
"22-Jul-2020","EQ","3,011.00","3,030.15","2,906.55","3,004.30","2,981.20","2,985.40","2,969.41","3,315.15","1,788.65",2050820,"6,089,724,717.45",105339
"21-Jul-2020","EQ","3,015.00","3,057.00","2,990.00","3,002.55","3,000.95","3,004.30","3,023.65","3,315.15","1,788.65",834568,"2,523,439,824.00",44043
"20-Jul-2020","EQ","3,001.00","3,020.00","2,974.00","2,995.00","3,010.00","3,002.55","2,997.15","3,315.15","1,788.65",766793,"2,298,189,830.90",42699
"17-Jul-2020","EQ","2,950.00","3,000.00","2,925.00","2,942.30","2,998.00","2,995.00","2,972.69","3,315.15","1,788.65",687105,"2,042,547,115.45",37676
"16-Jul-2020","EQ","2,944.00","2,950.00","2,898.90","2,942.05","2,936.00","2,942.30","2,930.65","3,315.15","1,788.65",525135,"1,538,987,412.05",29200
"15-Jul-2020","EQ","2,915.00","2,955.00","2,900.00","2,899.50","2,940.00","2,942.05","2,927.80","3,315.15","1,788.65",905351,"2,650,684,666.40",38565
"14-Jul-2020","EQ","2,898.00","2,909.90","2,847.00","2,900.00","2,900.00","2,899.50","2,885.37","3,315.15","1,788.65",612986,"1,768,691,891.95",29836
"13-Jul-2020","EQ","2,898.90","2,910.00","2,876.80","2,894.70","2,903.10","2,900.00","2,897.73","3,315.15","1,788.65",481614,"1,395,589,088.00",24826
"10-Jul-2020","EQ","2,875.00","2,915.00","2,856.40","2,882.00","2,888.50","2,894.70","2,892.94","3,315.15","1,788.65",688374,"1,991,423,718.50",36113
"09-Jul-2020","EQ","2,878.00","2,895.00","2,840.20","2,852.45","2,883.05","2,882.00","2,862.46","3,315.15","1,788.65",700527,"2,005,232,748.00",33930
"08-Jul-2020","EQ","2,882.00","2,899.00","2,811.60","2,847.15","2,857.05","2,852.45","2,856.09","3,315.15","1,788.65",1348820,"3,852,351,351.60",63485
"07-Jul-2020","EQ","2,901.00","2,974.00","2,826.55","2,897.10","2,850.00","2,847.15","2,890.18","3,315.15","1,788.65",2168031,"6,265,995,904.65",99272
"06-Jul-2020","EQ","2,942.05","2,946.00","2,884.00","2,932.40","2,901.00","2,897.10","2,901.45","3,315.15","1,788.65",1126391,"3,268,163,202.70",54165
"03-Jul-2020","EQ","2,899.00","2,960.00","2,887.60","2,879.35","2,935.05","2,932.40","2,930.01","3,315.15","1,788.65",1394994,"4,087,340,070.05",63319
"02-Jul-2020","EQ","2,857.90","2,903.45","2,837.10","2,842.05","2,877.25","2,879.35","2,872.16","3,315.15","1,788.65",754915,"2,168,238,934.95",47861
"01-Jul-2020","EQ","2,838.05","2,872.00","2,828.60","2,826.05","2,837.80","2,842.05","2,847.88","3,315.15","1,788.65",525801,"1,497,418,446.35",28435
"30-Jun-2020","EQ","2,902.40","2,913.45","2,815.00","2,859.50","2,834.00","2,826.05","2,850.99","3,315.15","1,788.65",751691,"2,143,065,274.10",51615
"29-Jun-2020","EQ","2,825.00","2,870.00","2,815.00","2,867.60","2,850.00","2,859.50","2,837.36","3,315.15","1,788.65",680242,"1,930,092,641.65",33904
"26-Jun-2020","EQ","2,853.70","2,900.00","2,825.00","2,820.45","2,860.00","2,867.60","2,868.03","3,315.15","1,788.65",1227666,"3,520,980,219.45",58805
"25-Jun-2020","EQ","2,789.80","2,890.00","2,772.70","2,817.25","2,817.00","2,820.45","2,847.35","3,315.15","1,788.65",1341923,"3,820,925,692.00",74504
"24-Jun-2020","EQ","2,899.80","2,979.90","2,805.65","2,862.15","2,809.80","2,817.25","2,899.73","3,315.15","1,788.65",1617177,"4,689,372,224.65",74569
"23-Jun-2020","EQ","2,890.00","2,910.10","2,844.95","2,855.75","2,867.55","2,862.15","2,875.35","3,315.15","1,788.65",1089948,"3,133,985,306.45",54956
"22-Jun-2020","EQ","2,690.00","2,873.95","2,659.55","2,674.35","2,863.90","2,855.75","2,815.00","3,315.15","1,788.65",1872879,"5,272,149,436.15",102487
"19-Jun-2020","EQ","2,690.00","2,710.00","2,655.00","2,678.35","2,675.95","2,674.35","2,680.70","3,315.15","1,788.65",929101,"2,490,637,122.80",53562
