"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Aug-2020","EQ","1,835.00","1,835.90","1,818.05","1,820.70","1,827.55","1,827.95","1,828.01","2,499.90","1,473.45",2934730,"5,364,712,976.60",85358
"18-Aug-2020","EQ","1,801.10","1,825.40","1,795.95","1,800.55","1,819.05","1,820.70","1,813.53","2,499.90","1,473.45",3413536,"6,190,549,505.40",141811
"17-Aug-2020","EQ","1,805.00","1,807.85","1,783.85","1,791.70","1,801.95","1,800.55","1,795.17","2,499.90","1,473.45",4076960,"7,318,829,944.15",148103
"14-Aug-2020","EQ","1,818.60","1,823.75","1,773.25","1,804.85","1,793.75","1,791.70","1,796.65","2,499.90","1,473.45",6136766,"11,025,637,096.85",186319
"13-Aug-2020","EQ","1,818.50","1,823.65","1,799.55","1,814.20","1,810.00","1,804.85","1,807.52","2,499.90","1,473.45",3769538,"6,813,503,042.60",129725
"12-Aug-2020","EQ","1,825.75","1,837.70","1,802.00","1,826.75","1,821.00","1,814.20","1,820.21","2,499.90","1,473.45",3606317,"6,564,247,309.35",129657
"11-Aug-2020","EQ","1,813.00","1,846.75","1,810.50","1,798.95","1,829.00","1,826.75","1,834.41","2,499.90","1,473.45",4944312,"9,069,914,818.50",167219
"10-Aug-2020","EQ","1,794.00","1,811.00","1,789.30","1,777.70","1,796.60","1,798.95","1,800.45","2,499.90","1,473.45",3030917,"5,457,022,247.20",102333
"07-Aug-2020","EQ","1,774.95","1,781.80","1,763.00","1,783.75","1,779.90","1,777.70","1,773.89","2,499.90","1,473.45",5129995,"9,100,051,953.15",146649
"06-Aug-2020","EQ","1,798.25","1,805.70","1,762.05","1,776.70","1,778.45","1,783.75","1,784.36","2,499.90","1,473.45",6004624,"10,714,415,040.60",169297
"05-Aug-2020","EQ","1,784.40","1,811.50","1,766.25","1,781.10","1,780.00","1,776.70","1,787.48","2,499.90","1,473.45",5576455,"9,967,784,417.55",166848
"04-Aug-2020","EQ","1,749.00","1,794.45","1,743.40","1,739.80","1,783.85","1,781.10","1,773.16","2,499.90","1,473.45",4722583,"8,373,874,927.85",201026
"03-Aug-2020","EQ","1,781.00","1,781.95","1,730.10","1,781.95","1,744.00","1,739.80","1,756.06","2,499.90","1,473.45",4648927,"8,163,809,657.20",199001
"31-Jul-2020","EQ","1,805.00","1,811.20","1,759.00","1,810.65","1,786.50","1,781.95","1,783.75","2,499.90","1,473.45",7746014,"13,816,965,912.60",234358
"30-Jul-2020","EQ","1,880.00","1,900.70","1,804.00","1,877.30","1,804.95","1,810.65","1,848.21","2,499.90","1,473.45",7473426,"13,812,489,030.95",243718
"29-Jul-2020","EQ","1,885.00","1,918.50","1,867.20","1,897.35","1,879.65","1,877.30","1,890.21","2,499.90","1,473.45",7413828,"14,013,720,596.85",202540
"28-Jul-2020","EQ","1,859.35","1,907.00","1,844.50","1,850.75","1,892.00","1,897.35","1,876.95","2,499.90","1,473.45",4346193,"8,157,568,543.65",175005
"27-Jul-2020","EQ","1,841.30","1,861.95","1,824.00","1,841.30","1,853.00","1,850.75","1,842.36","2,499.90","1,473.45",3724639,"6,862,134,768.10",166745
"24-Jul-2020","EQ","1,854.00","1,857.80","1,817.00","1,875.80","1,841.00","1,841.30","1,834.05","2,499.90","1,473.45",3309356,"6,069,531,974.80",148129
"23-Jul-2020","EQ","1,881.05","1,910.00","1,871.60","1,881.05","1,872.25","1,875.80","1,891.88","2,499.90","1,473.45",3647242,"6,900,158,053.60",121783
"22-Jul-2020","EQ","1,895.50","1,898.95","1,851.50","1,883.65","1,897.70","1,881.05","1,872.11","2,499.90","1,473.45",5538884,"10,369,413,956.80",199916
"21-Jul-2020","EQ","1,816.50","1,900.95","1,815.00","1,806.05","1,887.00","1,883.65","1,869.58","2,499.90","1,473.45",6884035,"12,870,275,135.15",236947
"20-Jul-2020","EQ","1,844.00","1,844.00","1,801.00","1,805.85","1,804.05","1,806.05","1,816.19","2,499.90","1,473.45",3915997,"7,112,184,282.85",142802
"17-Jul-2020","EQ","1,800.00","1,821.95","1,784.05","1,787.80","1,812.05","1,805.85","1,806.59","2,499.90","1,473.45",4240987,"7,661,742,109.05",113416
"16-Jul-2020","EQ","1,792.00","1,794.70","1,750.00","1,789.90","1,790.00","1,787.80","1,774.16","2,499.90","1,473.45",4230162,"7,504,975,484.90",154071
"15-Jul-2020","EQ","1,809.00","1,821.90","1,782.00","1,791.60","1,797.00","1,789.90","1,803.21","2,499.90","1,473.45",3994980,"7,203,769,834.40",147688
"14-Jul-2020","EQ","1,825.00","1,825.30","1,770.50","1,845.55","1,793.10","1,791.60","1,792.02","2,499.90","1,473.45",5529793,"9,909,526,728.75",212015
"13-Jul-2020","EQ","1,905.00","1,907.20","1,840.00","1,886.00","1,853.65","1,845.55","1,862.45","2,499.90","1,473.45",3403604,"6,339,056,787.25",163322
"10-Jul-2020","EQ","1,915.00","1,931.90","1,876.25","1,941.85","1,888.50","1,886.00","1,899.85","2,499.90","1,473.45",3853348,"7,320,788,674.45",153438
